date,load1,load2,load3,load4,load5,load6,load7,load8,load9,load10,load11,load12,load13,load14,load15,load16,load17,load18,load19,load20,load21,load22,load23,load24,temp1,temp2,temp3
2015-11-10,67494,65235,64183,63361,63539,65281,70388,76974,78647,78608,78232,77820,77283,76668,76596,76152,75762,76884,80810,81467,80331,78061,74322,70103,51.616666666666674,45.929166666666674,47.304166666666674
2015-11-11,66944,64863,63604,63010,63239,64571,69047,74781,76789,76978,77361,77748,77905,77919,78121,78027,78007,79677,82547,82598,80861,78444,74896,70079,49.43333333333334,50.9125,51.71666666666667
2015-11-12,66158,64281,62937,62306,61758,63523,68586,74702,77163,77688,78259,78499,78335,77742,77836,77485,77321,78620,81679,82408,81145,79234,75714,71107,43.258333333333326,44.224999999999994,44.94583333333335
2015-11-13,67811,65994,64624,64134,64485,66122,71243,77683,79598,79219,78644,78240,77193,76359,75857,74997,74335,75701,79481,79702,78417,76893,74497,71229,42.791666666666664,42.916666666666664,39.53333333333334
2015-11-14,68399,66400,65320,64715,64435,64896,66954,69708,71368,72537,72437,71431,70055,68795,67557,66848,66770,68628,72871,73558,72553,71354,68994,66114,54.05833333333334,52.487500000000004,49.416666666666664
2015-11-15,63301,61362,60142,59552,59526,60297,61719,63691,65250,66922,67253,66845,66609,66282,65953,65686,65894,68568,73711,74443,73505,71524,68649,65064,53.1,52.22083333333334,47.60833333333333
2015-11-16,62554,61049,60271,60124,60200,62263,67480,74037,76750,77238,77753,78257,78464,78310,78420,78012,77945,80075,83264,83105,81716,79258,75365,70785,53.39166666666667,53.06250000000001,50.47083333333334
2015-11-17,67216,65048,63304,62590,62933,64298,68924,75229,77907,78559,79498,80030,80201,80023,79672,79059,79048,81004,83319,83205,81549,79010,75521,70848,59.51250000000001,61.11666666666667,58.65416666666667
2015-11-18,67214,64972,63114,62303,61716,62709,67404,74032,76523,77235,77725,77778,77948,77778,77850,77336,77266,78780,81977,82207,81101,79070,75415,71225,45.675000000000004,54.01250000000001,50.20833333333334
2015-11-19,67512,65109,63691,62872,63349,65413,70769,77763,79809,79237,78989,78974,78443,77963,77805,77094,77064,78956,83118,83817,82873,81218,78297,74370,38.00833333333333,40.25416666666667,38.95416666666666
2015-11-20,70709,68512,67359,66793,67296,69405,74480,80955,82773,81929,80979,79988,78934,78046,77747,77095,77212,79196,82021,81699,80275,78727,75941,72763,33.09166666666667,34.35833333333334,39.57916666666667
2015-11-21,69289,66898,65260,64411,64389,65375,67312,69913,72336,74862,76605,77191,77102,76197,75421,74792,75108,77637,81513,81944,81042,79740,77500,74791,21.799999999999997,28.7375,25.608333333333334
